cepet,cepat
sd,sudah
skali,sekali
bbrp,beberapa
bbrapa,beberapa
gka,tidak
sneng,senang
lmyan,lumayan
brguna,berguna
smnjak,semenjak
wkt,waktu
yachh,iya
dluu,dulu
w,saya
blm,belum
blik,balik
jlas,jelas
pemby,pembayaran
lwt,lewat
ttep,tetap
bet,banget
masok,masuk
cma,cuma
smp,sampai
trnyt,ternyata
make,memakai
mmbntu,membantu
ksni,kesini
trbantu,terbantu
utk,untuk
thnx,terima kasih
tgl,tanggal
kr,ke
mmberatkn,memberatkan
misquin,miskin
gnti,ganti
mao,mau
slmat,selamat
nyri,mencari
prnh,pernah
bngst,bangsat
thn,tahun
syg,sayang
tuq,untuk
yh,iya
msk,masuk
gersk,gerak
jrk,jarak
dekt,dekat
smoga,semoga
mbantu,membantu
yq,yang
ms,mas
dunks,dong
hub,hubungi
ug,yang
hisa,bisa
ng,tidak
sepurna,sempurna
smua,semua
pengen,ingin
u,kamu
plng,pulang
trpaksa,terpaksa
marka,mereka
tdrkirim,dikirim
sndri,sendiri
krja,kerja
sgla,segala
trlalu,terlalu
tnpa,tanpa
hrus,harus
tkut,takut
page,pakai
memmbantu,membantu
tayak,tanya
derever,pengemudi
kasiyan,kasihan
mantep,mantap
swmakin,semakin
repisi,revisi
ntaps,mantap
ud,sudah
mntapa,mantap
cangih,canggih
tx,terima kasih
ank,anak
sy,saya
aplikasiini,aplikasi ini
apus,hapus
mssuk,masuk
aj,saja
riil,real
stgh,setengah
ngeleg,kelambatan
mwantab,mantap
pantes,pantas
trim,terima
jg,juga
anjg,anjing
dm,diamond
tije,transjakarta
appnya,aplikasi
bae,baik
kwan,kawan
senilay,senilai
pesenin,pesankan
kq,kok
muantap,mantap
mksi,makasih
verybagus,sangat bagus
lngsung,langsung
axtipitas,aktivitas
smu,semua
pk,pakai
kluar,keluar
komotitor,kopetitor
hanphon,telepon
smapah,sampah
dtp,dapat
sring,sering
tranper,transfer
bjam,jam
wokey,oke
mbleset,meleset
bingit,banget
may,mau
prektis,praktis
kacaw,kacau
trnsit,transit
krtu,kartu
bat,banget
dilbihin,melebihkan
bru,baru
gopya,gopay
sngat,sangat
nmr,nomor
fi,di
gbisa,tidak bisa
aga,sedikit
mkin,makin
brmasalah,masalah
donlod,unduh
tank,terima kasih
ttik,titik
mesan,memesan
deket,dekat
bgaimana,bagaimana
tydack,tidak
klen,kalian
disat,disaat
hdir,hadir
selu,selalu
bosqu,bos
biri,buru
ferfom,performa
drifer,pengemudi
tlongpihak,tolong pihak
syabuat,saya buat
rame,ramai
tampa,tanpa
males,malas
nyobak,coba
ngaret,terlambat
goog,bagus
terimakasi,terima kasih
thanks,terima kasih
sempel,simpel
garibet,tidak ribet
keakurtan,keakuratan
sagat,sangat
tlpn,telepon
kasian,kasihan
kndraaan,kendaraan
pengemudijya,pengemudi
pgguna,pengguna
pot,potongan
tq,terima kasih
dg,dengan
dn,dan
kn,kan
txs,terima kasih
sekale,sekali
keyeeennn,keren
tdur,tidur
tdr,tidur
rekomen,rekomendasi
kalp,kalau
gokils,gokil
leqat,lewat
gag,tidak
mantao,mantap
fulsa,pulsa
nanyaek,bertanya
dunk,dong
jendaral,jendral
leg,kelambatan
kiling,keliling
ma,sama
ktnya,kata
trx,transaksi
dgn,dengan
psti,pasti
lgsg,langsung
komplet,komplit
tbah,tambah
nyedot,menyedot
sdngkan,sedangkan
macam,seperti
tak,tidak
imel,email
gugel,google
cri,cari
lo,kamu
lu,kamu
dh,sudah
bntang,bintang
gejeng,gojek
orng,orang
masalh,masalah
naju,maju
sobat,sahabat
bgmn,bagaimana
wlyh,wilayah
mmpermudah,mempermudah
dng,dengan
tarip,tarif
qu,aku
tryta,ternyata
akurt,akurat
uwang,uang
membntu,membantu
enk,enak
bntu,bantu
seklinya,sekali
slali,selalu
dsb,dan sebagai
nmbh,nambah
vervikasi,verifikasi
mancap,mantap
muantep,mantap
na,nya
sanagt,sangat
aq,aku
amn,aman
tulman,mantap
lawack,lawak
atitudnya,sikap
jgi,jadi
perubhn,perubahan
mulu,melulu
rebu,ribu
klaw,kalau
pelyanan,pelayanan
ceoat,cepat
gojwk,gojek
asw,asu
aktifitaa,aktivitas
keaeharian,keseharian
srba,serba
tirima,terima
mabtap,mantap
jatoh,jatuh
srtakkkn,sertakan
smngattt.semangat,nan
upgerd,meningkatkan
ywdah,yaudah
gjls,tidak jelas
nyetir,menyetir
kehidupa,kehidupan
spy,supaya
yha,iya
kenap,kenapa
bbgus,bagus
donglwod,unduh
lamaeskipun,lama meskipun
vermuk,verifikasi muka
mantav,mantap
sldo,saldo
kensel,tolak
guug,bagus
pokona,pokok
kezel,kesal
deraeper,pengemudi
deraper,pengemudi
slah,salaha
asyikkk,asyik
draiver,pengemudi
byaar,bayar
pinjem,pinjam
gede,besar
kakean,kebanyakan
notipikasi,notifikasi
yqng,yang
sangap,sangat
trmksih,terima kasih
mmbatalkan,membatalkan
perporma,performa
uenak,enak
admint,admin
hny,hanya
makain,makin
naek,naik
lemog,lemot
sikit,sedikit
mesen,memesan
moso,masa
kudu,harus
nex,next
nguriin,merugikan
gbs,tidak bisa
mantuul,mantap
betkembang,berkembang
peromo,promosisi
aqu,aku
gblk,goblok
apliaksinya,aplikasi
ndaftar,daftar
lnacar,lancar
tbtb,tiba tiba
affa,apa
iyha,iya
mantapks,mantap
cepst,cepat
amsn,aman
gabisa,tidak bisa
daduri,darurat
nanyakk,bertanya
sblmny,sebelum
wktu,waktu
ngaco,kacau
coman,cuman
nasdang,nasi padang
teoat,tepat
ngatasin,mengatasi
komtoll,kontol
lanbat,lambat
makannan,makanan
kenaapaya,kenapa
mutugojek,mutu gojek
melemamah,melemah
milihin,memilih
ilang,hilang
ats,atas
sklian,sekalian
gjeg,gojek
naeknya,naik
teroos,terus
nyesel,menyesal
rmh,rumah
bgtt,banget
cansel,membatalkan
dolot,unduh
makasi,makasih
pemer,pamer
menyenanfkan,menyenangkan
mqsa,masa
sbuk,sibuk
ggl,gagal
trus,terus
ngarep,berharap
gaje,tidak jelas
nyusahin,menyusahkan
st,stasiun
bbruk,buruk
biaa,bisa
hnya,hanya
ibuk,ibu
ngerti,mengerti
mainn,main
sellu,selalu
taoi,tapi
pesen,pesan
sich,sih
sni,sini
emng,emang
nginstal,memasang
sbr,sabar
sampe,sampai
uda,sudah
bget,banget
ditlfn,ditelepon
dibls,dibalas
bw,bawa
vak,tidak
mndpt,mendapat
paltinum,platinum
sebalah,sebelah
bngtt,banget
bngt,banget
terbantuin,terbantu
adanua,adanya
transfortasi,transportasi
vitur,fitur
taii,tahi
tyjuan,tujuan
nyampa,sampai
lam,lama
trimakasih,terima kasih
sprti,seperti
prktis,praktis
blnja,belanja
pmbayaran,pembayaran
bnyar,bayar
selvi,selfie
ranting,penilaian
mmpus,mampus
ne,ini
tibatiba,tiba tiba
kuq,kok
tlng,tolong
hbis,habis
aflikasi,aplikasi
knmblikn,kembalikan
terlelu,terlalu
spt,seperti
suke,suka
kalem,santai
nyetirnya,mengemudi
padalaj,padahal
pertahsnkan,pertahankan
amet,sangat
buanyak,banyak
gj,tidak jelas
sammp,sampai
suda,sudah
system,sistem
rahma,ramah
benget,banget
ahir,akhir
stngah,setengah
kntol,kontol
kntl,kontol
inh,ini
pnjem,pinjem
tba,tiba
byar,bayar
mkn,semakin
lynan,layanan
kualitasnyq,kualitas
kewren,keren
kalu,kalau
najs,najis
telfon,telepon
brsm,bersama
slmt,selamat
smpai,sampai
drever,pengemudi
perkotan,perkotaan
baghet,banget
yyang,yang
tiak,tidak
plz,tolong
nampak,tampak
jjk,jijik
nerima,terima
kasi,kasih
disabelitas,disabilitas
memuasksn,memuaskan
mhn,mohon
dlm,dalam
transper,transfer
kno,kenapa
berthun,bertahun
sensara,sengsara
bangt,banget
nekek,mencekik
dinaek,dinaik
pertma,pertama
jlasi,jelaskan
maksd,maksud
msalah,masalah
msalahnya,masalah
dsn,dan
memperbaruit,memperbaruid
nelpon,telepon
gimanasi,bagaimana
perbaikin,perbaiki
kekgitu,seperti itu
mlu,mulu
shy,sangat
